payload_size,metric,segment,protocol,percentile,value,unit
10mb,cpu_usage_ratio,client_to_gateway,grpc,50,2.18,ratio/core
10mb,cpu_usage_ratio,client_to_gateway,grpc,95,2.76,ratio/core
10mb,cpu_usage_ratio,client_to_gateway,grpc,99,2.95,ratio/core
10mb,cpu_usage_ratio,client_to_gateway,rest,50,2.13,ratio/core
10mb,cpu_usage_ratio,client_to_gateway,rest,95,2.85,ratio/core
10mb,cpu_usage_ratio,client_to_gateway,rest,99,2.97,ratio/core
10mb,cpu_usage_ratio,gateway_to_client,grpc,50,1.68,ratio/core
10mb,cpu_usage_ratio,gateway_to_client,grpc,95,2.89,ratio/core
10mb,cpu_usage_ratio,gateway_to_client,grpc,99,3.35,ratio/core
10mb,cpu_usage_ratio,gateway_to_client,rest,50,0.0,ratio/core
10mb,cpu_usage_ratio,gateway_to_client,rest,95,9.14,ratio/core
10mb,cpu_usage_ratio,gateway_to_client,rest,99,9.43,ratio/core
10mb,cpu_usage_ratio,gateway_to_worker,grpc,50,2.45,ratio/core
10mb,cpu_usage_ratio,gateway_to_worker,grpc,95,2.98,ratio/core
10mb,cpu_usage_ratio,gateway_to_worker,grpc,99,3.35,ratio/core
10mb,cpu_usage_ratio,gateway_to_worker,rest,50,1.95,ratio/core
10mb,cpu_usage_ratio,gateway_to_worker,rest,95,2.96,ratio/core
10mb,cpu_usage_ratio,gateway_to_worker,rest,99,3.35,ratio/core
10mb,latency_seconds,client_to_gateway,grpc,50,50.66,ms
10mb,latency_seconds,client_to_gateway,grpc,95,79.73,ms
10mb,latency_seconds,client_to_gateway,grpc,99,85.14,ms
10mb,latency_seconds,client_to_gateway,rest,50,15.16,ms
10mb,latency_seconds,client_to_gateway,rest,95,24.0,ms
10mb,latency_seconds,client_to_gateway,rest,99,25.42,ms
10mb,latency_seconds,gateway_to_client,grpc,50,10.37,ms
10mb,latency_seconds,gateway_to_client,grpc,95,16.18,ms
10mb,latency_seconds,gateway_to_client,grpc,99,16.91,ms
10mb,latency_seconds,gateway_to_client,rest,50,1.96,ms
10mb,latency_seconds,gateway_to_client,rest,95,3.12,ms
10mb,latency_seconds,gateway_to_client,rest,99,3.34,ms
10mb,latency_seconds,gateway_to_worker,grpc,50,38.11,ms
10mb,latency_seconds,gateway_to_worker,grpc,95,68.73,ms
10mb,latency_seconds,gateway_to_worker,grpc,99,85.58,ms
10mb,latency_seconds,gateway_to_worker,rest,50,22.74,ms
10mb,latency_seconds,gateway_to_worker,rest,95,37.72,ms
10mb,latency_seconds,gateway_to_worker,rest,99,52.66,ms
10mb,latency_seconds,worker_to_gateway,grpc,50,9.91,ms
10mb,latency_seconds,worker_to_gateway,grpc,95,16.47,ms
10mb,latency_seconds,worker_to_gateway,grpc,99,23.15,ms
10mb,latency_seconds,worker_to_gateway,rest,50,6.18,ms
10mb,latency_seconds,worker_to_gateway,rest,95,7.56,ms
10mb,latency_seconds,worker_to_gateway,rest,99,15.43,ms
10mb,memory_usage_bytes,client_to_gateway,grpc,50,48.7,MB
10mb,memory_usage_bytes,client_to_gateway,grpc,95,63.73,MB
10mb,memory_usage_bytes,client_to_gateway,grpc,99,112.75,MB
10mb,memory_usage_bytes,client_to_gateway,rest,50,81.6,MB
10mb,memory_usage_bytes,client_to_gateway,rest,95,123.36,MB
10mb,memory_usage_bytes,client_to_gateway,rest,99,127.07,MB
10mb,memory_usage_bytes,gateway_to_client,grpc,50,52.17,MB
10mb,memory_usage_bytes,gateway_to_client,grpc,95,112.53,MB
10mb,memory_usage_bytes,gateway_to_client,grpc,99,124.91,MB
10mb,memory_usage_bytes,gateway_to_client,rest,50,96.0,MB
10mb,memory_usage_bytes,gateway_to_client,rest,95,124.8,MB
10mb,memory_usage_bytes,gateway_to_client,rest,99,127.36,MB
10mb,memory_usage_bytes,gateway_to_worker,grpc,50,49.19,MB
10mb,memory_usage_bytes,gateway_to_worker,grpc,95,81.6,MB
10mb,memory_usage_bytes,gateway_to_worker,grpc,99,118.72,MB
10mb,memory_usage_bytes,gateway_to_worker,rest,50,48.0,MB
10mb,memory_usage_bytes,gateway_to_worker,rest,95,62.4,MB
10mb,memory_usage_bytes,gateway_to_worker,rest,99,63.68,MB
10mb,throughput_bytes_per_second,client_to_gateway,grpc,50,192.0,MB/s
10mb,throughput_bytes_per_second,client_to_gateway,grpc,95,249.6,MB/s
10mb,throughput_bytes_per_second,client_to_gateway,grpc,99,254.72,MB/s
10mb,throughput_bytes_per_second,client_to_gateway,rest,50,758.86,MB/s
10mb,throughput_bytes_per_second,client_to_gateway,rest,95,997.49,MB/s
10mb,throughput_bytes_per_second,client_to_gateway,rest,99,1018.7,MB/s
10mb,throughput_bytes_per_second,gateway_to_client,grpc,50,196.74,MB/s
10mb,throughput_bytes_per_second,gateway_to_client,grpc,95,326.4,MB/s
10mb,throughput_bytes_per_second,gateway_to_client,grpc,99,474.88,MB/s
10mb,throughput_bytes_per_second,gateway_to_client,rest,50,1402.43,MB/s
10mb,throughput_bytes_per_second,gateway_to_client,rest,95,1983.44,MB/s
10mb,throughput_bytes_per_second,gateway_to_client,rest,99,2035.09,MB/s
10mb,throughput_bytes_per_second,gateway_to_worker,grpc,50,293.65,MB/s
10mb,throughput_bytes_per_second,gateway_to_worker,grpc,95,490.16,MB/s
10mb,throughput_bytes_per_second,gateway_to_worker,grpc,99,507.63,MB/s
10mb,throughput_bytes_per_second,gateway_to_worker,rest,50,388.92,MB/s
10mb,throughput_bytes_per_second,gateway_to_worker,rest,95,652.8,MB/s
10mb,throughput_bytes_per_second,gateway_to_worker,rest,99,949.76,MB/s
10mb,throughput_bytes_per_second,worker_to_gateway,grpc,50,214.42,MB/s
10mb,throughput_bytes_per_second,worker_to_gateway,grpc,95,465.6,MB/s
10mb,throughput_bytes_per_second,worker_to_gateway,grpc,99,502.72,MB/s
10mb,throughput_bytes_per_second,worker_to_gateway,rest,50,394.26,MB/s
10mb,throughput_bytes_per_second,worker_to_gateway,rest,95,776.53,MB/s
10mb,throughput_bytes_per_second,worker_to_gateway,rest,99,974.51,MB/s
50mb,cpu_usage_ratio,client_to_gateway,grpc,50,2.25,ratio/core
50mb,cpu_usage_ratio,client_to_gateway,grpc,95,2.48,ratio/core
50mb,cpu_usage_ratio,client_to_gateway,grpc,99,2.5,ratio/core
50mb,cpu_usage_ratio,client_to_gateway,rest,50,1.69,ratio/core
50mb,cpu_usage_ratio,client_to_gateway,rest,95,2.14,ratio/core
50mb,cpu_usage_ratio,client_to_gateway,rest,99,2.43,ratio/core
50mb,cpu_usage_ratio,gateway_to_client,grpc,50,1.64,ratio/core
50mb,cpu_usage_ratio,gateway_to_client,grpc,95,1.96,ratio/core
50mb,cpu_usage_ratio,gateway_to_client,grpc,99,1.99,ratio/core
50mb,cpu_usage_ratio,gateway_to_client,rest,50,0.0,ratio/core
50mb,cpu_usage_ratio,gateway_to_client,rest,95,2.64,ratio/core
50mb,cpu_usage_ratio,gateway_to_client,rest,99,2.93,ratio/core
50mb,cpu_usage_ratio,gateway_to_worker,grpc,50,2.28,ratio/core
50mb,cpu_usage_ratio,gateway_to_worker,grpc,95,2.76,ratio/core
50mb,cpu_usage_ratio,gateway_to_worker,grpc,99,2.95,ratio/core
50mb,cpu_usage_ratio,gateway_to_worker,rest,50,2.21,ratio/core
50mb,cpu_usage_ratio,gateway_to_worker,rest,95,2.47,ratio/core
50mb,cpu_usage_ratio,gateway_to_worker,rest,99,2.49,ratio/core
50mb,latency_seconds,client_to_gateway,grpc,50,172.5,ms
50mb,latency_seconds,client_to_gateway,grpc,95,271.77,ms
50mb,latency_seconds,client_to_gateway,grpc,99,287.9,ms
50mb,latency_seconds,client_to_gateway,rest,50,79.8,ms
50mb,latency_seconds,client_to_gateway,rest,95,127.91,ms
50mb,latency_seconds,client_to_gateway,rest,99,177.5,ms
50mb,latency_seconds,gateway_to_client,grpc,50,47.22,ms
50mb,latency_seconds,gateway_to_client,grpc,95,65.59,ms
50mb,latency_seconds,gateway_to_client,grpc,99,82.32,ms
50mb,latency_seconds,gateway_to_client,rest,50,6.73,ms
50mb,latency_seconds,gateway_to_client,rest,95,19.44,ms
50mb,latency_seconds,gateway_to_client,rest,99,24.39,ms
50mb,latency_seconds,gateway_to_worker,grpc,50,168.94,ms
50mb,latency_seconds,gateway_to_worker,grpc,95,263.71,ms
50mb,latency_seconds,gateway_to_worker,grpc,99,286.29,ms
50mb,latency_seconds,gateway_to_worker,rest,50,102.74,ms
50mb,latency_seconds,gateway_to_worker,rest,95,148.4,ms
50mb,latency_seconds,gateway_to_worker,rest,99,186.06,ms
50mb,latency_seconds,worker_to_gateway,grpc,50,38.04,ms
50mb,latency_seconds,worker_to_gateway,grpc,95,55.68,ms
50mb,latency_seconds,worker_to_gateway,grpc,99,57.27,ms
50mb,latency_seconds,worker_to_gateway,rest,50,15.24,ms
50mb,latency_seconds,worker_to_gateway,rest,95,24.08,ms
